,,,,,,,,,,,,,,,,,
Sheet9,,,,,,,,,,,,,,,,,
Sl No,Field Name,English,Hindi,Marathi,Malayalam,Tamil,Urdu,Bengali,Assamese,Gujarati,Kashmiri,Kannada,,KhaSI,Punjabi,Telegu,Konkani
1,Congratulations !,Congratulations!,बधाई हो!,अभिनंदन!,അഭിനന്ദനങ്ങൾ!,வாழ்த்துகள்!,مبارک ہو!,অভিনন্দন!,অভিনন্দন!,અભિનંદન!,مبارک ہو!,ಅಭಿನಂದನೆಗಳು!,ଅଭିନନ୍ଦନ!,Khublei shibun!,ਵਧਾਈਆਂ!,అభినందనలు!,परबीं!
2,Your business loan is sanctioned,Your Business Loan has been sanctioned successfully.,आपका व्यवसाय ऋण सफलतापूर्वक स्वीकृत हो गया है।,तुमचे व्यवसाय ऋण यशस्वीरित्या मंजूर झाले आहे.,നിങ്ങളുടെ ബിസിനസ് ലോൺ വിജയകരമായി അംഗീകരിച്ചു.,உங்கள் வணிகக் கடன் வெற்றிகரமாக அங்கீகரிக்கப்பட்டது.,آپ کا کاروباری قرض کامیابی کے ساتھ منظور ہو گیا ہے۔,আপনার ব্যবসা ঋণ সফলভাবে অনুমোদিত হয়েছে.,আপোনাৰ ব্যৱসায়িক ঋণ সফলতাৰে অনুমোদন কৰা হৈছে।,તમારી વ્યવસાય લોન સફળતાપૂર્વક મંજૂર કરવામાં આવી છે.,آپ کا بزنس لون کامیابی سے منظور ہو گیا ہے۔,ನಿಮ್ಮ ವ್ಯಾಪಾರ ಸಾಲವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಅನುಮೋದಿಸಲಾಗಿದೆ.,ଆପଣଙ୍କର ବ୍ୟବସାୟ ଋଣ ସଫଳତାର ସହିତ ଅନୁମୋଦିତ ହୋଇଛି |,Ka Business Loan jong phi ka la shah pynbna da kaba jop.,ਤੁਹਾਡਾ ਕਾਰੋਬਾਰੀ ਕਰਜ਼ਾ ਸਫਲਤਾਪੂਰਵਕ ਮਨਜ਼ੂਰ ਹੋ ਗਿਆ ਹੈ।,మీ వ్యాపార రుణం విజయవంతంగా ఆమోదించబడింది.,तुमच्या वेवसायीक रीनाक येसस्वीपणान मान्यताय मेळ्ळ्या.
3,Loan Amount,Loan Amount,ऋण राशि,ऋणची रक्कम,വായ്പ തുക,கடன் தொகை,قرض کی رقم,ঋণের পরিমাণ,ঋণৰ পৰিমাণ,લોનની રકમ,لون کی رقم,ಸಾಲದ ಮೊತ್ತ,ଋଣ ରାଶି,Ka jingsiew jong ka ram,ਕਰਜ਼ੇ ਦੀ ਰਕਮ,రుణ మొత్తం,रिणाची रक्कम
4,EMI,EMI,ईएमआई,ईएमआई,ഇഎംഐ,இஎம்ஐ,ای ایم آئی,ইএমআই,ই এম আই,ઇએમઆઈ,ای ایم آئی,ಇಎಂಐ,ଇଏମଆଇ,EMI,ਈਐਮਆਈ,ఇఎంఐ,एमी
5,Rate of Interest,Rate of Interest,ब्याज दर,व्याज दर,പലിശ നിരക്ക്,வட்டி விகிதம்,سود کی شرح,সুদের হার,সুতৰ হাৰ,વ્યાજ દર,سود کی شرح,ಬಡ್ಡಿ ದರ,ସୁଧ ହାର,Ka dor jong ka sut,ਵਿਆਜ ਦਰ,వడ్డీ రేటు,व्याजदरांतल्यान मेळटा
6,Tenure,Tenure,कार्यकाल,कार्यकाळ,കാലാവധി,பதவிக்காலம்,میعاد,মেয়াদ,কাৰ্যকাল,કાર્યકાળ,مدت,ಅಧಿಕಾರಾವಧಿ,କାର୍ଯ୍ୟକାଳ,Ka jinglong,ਕਾਰਜਕਾਲ,పదవీకాలం,कार्यकाळ
,Reference Number,Reference Number,संदर्भ संख्या,संदर्भ संख्या,റഫറൻസ് നമ്പർ,குறிப்பு எண்,حوالہ نمبر,রেফারেন্স নম্বর,ৰেফাৰেন্স নম্বৰ,સંદર્ભ નંબર,حوالہ نمبر,ಉಲ್ಲೇಖ ಸಂಖ್ಯೆ,ସନ୍ଦର୍ଭ ସଂଖ୍ୟା,Nombar jingkynthoh,ਹਵਾਲਾ ਨੰਬਰ,సూచన సంఖ్య,संदर्भ क्रमांक
7,Contribution and charges,Contribution and charges,योगदान और शुल्क,योगदान आणि शुल्क,സംഭാവനകളും ഫീസും,பங்களிப்புகள் மற்றும் கட்டணம்,شراکت اور فیس,অবদান এবং ফি,অৱদান আৰু চাৰ্জ,યોગદાન અને ફી,شراکت اور چارجز,ಕೊಡುಗೆಗಳು ಮತ್ತು ಶುಲ್ಕಗಳು,ଅବଦାନ ଏବଂ ଦେୟ,Ka jingnoh synniang bad ka jingsiew .,ਯੋਗਦਾਨ ਅਤੇ ਫੀਸ,రచనలు మరియు రుసుములు,योगदान आनी शुल्क
8,(A) Down Payment,(A) Down Payment,(a) अग्रिम भुगतान,(a) आगाऊ भुगतान,(a) മുൻകൂർ പേയ്മെൻ്റ്,(a) ​​முன்பணம்,(a) پیشگی ادائیگی,(a) অগ্রিম অর্থ প্রদান,(a) ডাউন পেমেণ্ট,(a) એડવાન્સ પેમેન્ટ,(اa) ڈاؤن پیمنٹ,(a) ಮುಂಗಡ ಪಾವತಿ,(କ) ଡାଉନ୍ ପେମେଣ୍ଟ୍ |,(a) Ka jingsiew shwa,(a) ਪੇਸ਼ਗੀ ਭੁਗਤਾਨ,(a) ముందస్తు చెల్లింపు,(a) आगाऊ फारीकणी
9,(B) Processing Fee,(B) Processing Fee,(b) प्रक्रिया शुल्क,(b) प्रक्रिया शुल्क,(b) പ്രോസസ്സിംഗ് ഫീസ്,(b) செயலாக்க கட்டணம்,(b) پروسیسنگ فیس,(b) প্রক্রিয়াকরণ ফি,(b) প্ৰক্ৰিয়াকৰণ মাচুল,(b) પ્રોસેસિંગ ફી,(بb) پروسیسنگ فیس,(b) ಸಂಸ್ಕರಣಾ ಶುಲ್ಕ,(ଖ) ପ୍ରକ୍ରିୟାକରଣ ଶୁଳ୍କ |,(b) Ka bai pyntreikam,(b) ਪ੍ਰੋਸੈਸਿੰਗ ਫੀਸ,(b) ప్రాసెసింగ్ రుసుము,(b) प्रक्रिया शुल्क
10,(D) Digital Convenience Fee,(C) Digital Convenience Fee,(c) डिजिटल सुविधा शुल्क,(c) डिजिटल सुविधा शुल्क,(c) ഡിജിറ്റൽ കൺവീനിയൻസ് ഫീസ്,(c) டிஜிட்டல் வசதிக்கான கட்டணம்,(c) ڈیجیٹل سہولت فیس,(c) ডিজিটাল সুবিধার ফি,(c) ডিজিটেল সুবিধা মাচুল,(c) ડિજિટલ સુવિધા ફી,(سc) ڈیجیٹل کنویننس فیس,(c) ಡಿಜಿಟಲ್ ಅನುಕೂಲತೆ ಶುಲ್ಕ,(ଗ) ଡିଜିଟାଲ୍ ସୁବିଧା ଦେୟ |,(c) Ka bai pynsuk digital,(c) ਡਿਜੀਟਲ ਸੁਵਿਧਾ ਫੀਸ,(c) డిజిటల్ కన్వీనియన్స్ రుసుము,(c) डिजिटल सोयी शुल्क
11,(D) Stamp Duty,(D) Stamp Duty,(d) स्टाम्प ड्यूटी,(d) स्टाम्प ड्यूटी,(d) സ്റ്റാമ്പ് ഡ്യൂട്ടി,(d) முத்திரை கட்டணம்,(d) سٹیمپ ڈیوٹی,(d) স্ট্যাম্প ডিউটি,(d) ষ্টাম্প ড্যুটি,(d) સ્ટેમ્પ ડ્યુટી,(ڈd) اسٹیمپ ڈیوٹی,(d) ಮುದ್ರಾಂಕ ಶುಲ್ಕ,(ଘ) ଷ୍ଟାମ୍ପ ଡ୍ୟୁଟି |,(d) Ka khajna jong ka dak,(d) ਸਟੈਂਪ ਡਿਊਟੀ,(d) స్టాంప్ డ్యూటీ,(d) मुद्रांक शुल्क
12,I hereby provide the consent to debit EMI from my current account XXXXXXX2350,I hereby provide my consent to debit EMI payments from my current account XXX,मैं इसके द्वारा अपने चालू खाते XXX से ईएमआई भुगतान डेबिट करने के लिए अपनी सहमति प्रदान करता हूं,मी याद्वारे माझ्या चालू खात्या XXX मधून ईएमआई पेमेंट डेबिट करण्यास माझी संमती देतो,എൻ്റെ XXX എന്ന നിലവിലെ അക്കൗണ്ടിൽ നിന്ന് ഇഎംഐ പേയ്‌മെൻ്റ് ഡെബിറ്റ് ചെയ്യുന്നതിന് ഞാൻ ഇതിനാൽ എൻ്റെ സമ്മതം നൽകുന്നു,எனது நடப்புக் கணக்கான XXX இலிருந்து இஎம்ஐ கட்டணத்தை டெபிட் செய்ய நான் இதன்மூலம் எனது ஒப்புதலை அளிக்கிறேன்,میں اس کے ذریعے اپنے موجودہ اکاؤنٹ XXX سے ای ایم آئی ادائیگی ڈیبٹ کرنے کے لیے اپنی رضامندی دیتا ہوں۔,আমি এতদ্বারা আমার বর্তমান অ্যাকাউন্ট XXX থেকে ইএমআই পেমেন্ট ডেবিট করার জন্য আমার সম্মতি দিচ্ছি,মই ইয়াৰ দ্বাৰা মোৰ চলিত একাউণ্ট XXX ৰ পৰা ইএমআই পেমেণ্ট ডেবিট কৰিবলৈ মোৰ সন্মতি প্ৰদান কৰিছো,હું આથી મારા વર્તમાન ખાતા XXXમાંથી ઇએમઆઈ ચુકવણી ડેબિટ કરવા માટે મારી સંમતિ આપું છું,میں یہاں اپنی رضامندی دیتا ہوں کہ میرے ای ایم آئی کی ادائیگیاں میرے کرنٹ اکاؤنٹ ایکس ایکس ایکس سے ڈیبٹ کی جائیں,ನನ್ನ ಪ್ರಸ್ತುತ ಖಾತೆ XXX ನಿಂದ ಇಎಂಐ ಪಾವತಿಯನ್ನು ಡೆಬಿಟ್ ಮಾಡಲು ನಾನು ಈ ಮೂಲಕ ನನ್ನ ಸಮ್ಮತಿಯನ್ನು ನೀಡುತ್ತೇನೆ,ମୁଁ ମୋର ସାମ୍ପ୍ରତିକ ଆକାଉଣ୍ଟ୍ XXX ରୁ ଇଏମଆଇ ଦେୟକୁ ଡେବିଟ୍ କରିବାକୁ ମୋର ସମ୍ମତି ପ୍ରଦାନ କରେ |,Nga ai ia ka jingmynjur jong nga ban weng ia ki jingsiew EMI na ka account ba mynta jong nga XXX .,ਮੈਂ ਇਸ ਦੁਆਰਾ ਆਪਣੇ ਮੌਜੂਦਾ ਖਾਤੇ XXX ਤੋਂ ਈਐਮਆਈ ਭੁਗਤਾਨ ਡੈਬਿਟ ਕਰਨ ਲਈ ਆਪਣੀ ਸਹਿਮਤੀ ਦਿੰਦਾ ਹਾਂ,నా ప్రస్తుత ఖాతా XXX నుండి ఇఎంఐ చెల్లింపును డెబిట్ చేయడానికి నేను ఇందుమూలంగా నా సమ్మతిని తెలియజేస్తున్నాను,हांव हाचे वरवीं म्हज्या चालू खात्यांतल्यान XXX वयल्यान ईएमआय फारीकणी डेबिट करपाची म्हजी संमती दितां
13,Here is your Final Sanction Letter,Congratulations! Here is your Sanction Letter,बधाई हो! यह आपका स्वीकृति पत्र है,अभिनंदन! हे तुमचे स्वीकृती पत्र आहे,അഭിനന്ദനങ്ങൾ! നിങ്ങളുടെ സ്വീകാര്യത കത്ത് ഇതാ,வாழ்த்துகள்! உங்கள் ஏற்பு கடிதம் இதோ,مبارک ہو! یہ رہا آپ کا قبولیت کا خط,অভিনন্দন! এখানে আপনার গ্রহণ পত্র,অভিনন্দন! ইয়াত আপোনাৰ অনুমোদন পত্ৰ দিয়া হৈছে,અભિનંદન! અહીં તમારો સ્વીકૃતિ પત્ર છે,مبارک ہو! یہ آپ کا منظوری خط ہے,ಅಭಿನಂದನೆಗಳು! ನಿಮ್ಮ ಸ್ವೀಕಾರ ಪತ್ರ ಇಲ್ಲಿದೆ,ଅଭିନନ୍ଦନ! ଏଠାରେ ତୁମର ଗ୍ରହଣ ପତ୍ର |,Khublei shibun! Hangne ​​ka don ka Shithi Jingmynjur jong phi .,ਵਧਾਈਆਂ! ਇਹ ਤੁਹਾਡਾ ਸਵੀਕ੍ਰਿਤੀ ਪੱਤਰ ਹੈ,అభినందనలు! మీ అంగీకార లేఖ ఇక్కడ ఉంది,परबीं! हांगा तुमचें मान्यताय पत्र आसा
14,Details have been sent to Mobile number + 91 7878787878,An email has been sent to xxx and a SMS/WhatsApp has been sent to xxx,xxx को एक ईमेल भेजा गया है और xxx को एक एसएमएस/व्हाट्सएप भेजा गया है,xxx वर एक ईमेल पाठवला गेला आहे आणि xxx वर एक एसएमएस/व्हाट्सएप पाठवला गेला आहे,"xxx-ലേക്ക് ഒരു ഇമെയിൽ അയച്ചു, xxx-ലേക്ക് ഒരു എസ്എംഎസ്/വാട്ട്സാപ്പ് അയച്ചു ",ஒரு மின்னஞ்சல் xxx க்கு அனுப்பப்பட்டது மற்றும் ஒரு எஸ்எம்எஸ்/வாட்ஸ்அப் xxx க்கு அனுப்பப்பட்டது,xxx پر ایک ای میل بھیجا گیا ہے اور xxx پر ایک ایس ایم ایس/واٹس ایپ بھیجا گیا ہے۔,xxx-এ একটি ইমেল পাঠানো হয়েছে এবং xxx-এ একটি এসএমএস/হোয়াটসঅ্যাপ পাঠানো হয়েছে,xxx লৈ এটা ইমেইল আৰু xxx লৈ এটা এছএমএছ/ৱাটছএপ প্ৰেৰণ কৰা হৈছে,xxx પર ઇમેઇલ મોકલવામાં આવ્યો છે અને xxx પર એસએમએસ/વોટ્સએપ મોકલવામાં આવ્યો છે,ایک ای میل ایکس ایکس ایکس کو بھیجا گیا ہے اور ایک ایس ایم ایس/واٹس ایپ ایکس ایکس ایکس کو بھیجا گیا ہے,ಇಮೇಲ್ ಅನ್ನು xxx ಗೆ ಕಳುಹಿಸಲಾಗಿದೆ ಮತ್ತು ಎಸ್ಎಂಎಸ್/ವಾಟ್ಸ್ ಅಪ್ ಅನ್ನು xxx ಗೆ ಕಳುಹಿಸಲಾಗಿದೆ,Xxx କୁ ଏକ ଇମେଲ୍ ପଠାଯାଇଛି ଏବଂ xxx କୁ ଏକ ଏସଏମଏସ / ହ୍ ଟସ୍ ଆପ୍ ପଠାଯାଇଛି |,La phah email sha xxx bad la phah SMS/WhatsApp sha xxx .,xxx 'ਤੇ ਇੱਕ ਈਮੇਲ ਭੇਜੀ ਗਈ ਹੈ ਅਤੇ xxx 'ਤੇ ਇੱਕ ਐੱਸਐੱਮਐੱਸ/ਵਾਟਸਅੱਪ ਭੇਜਿਆ ਗਿਆ ਹੈ,xxxకి ఇమెయిల్ పంపబడింది మరియు xxxకి ఎస్ఎంఎస్/వాట్సాప్ పంపబడింది,xxx कडेन ईमेल आनी xxx कडेन एसएमएस/व्हॉट्सअॅप धाडला
15,Continue,Continue,जारी रखें,सुरू ठेवा,തുടരുക,தொடரவும்,جاری رکھیں,চালিয়ে যান,অব্যাহত ৰাখক,ચાલુ રાખો,جاری رکھیں,ಮುಂದುವರಿಸಿ,ଜାରି ରଖ |,Bteng,ਜਾਰੀ ਰੱਖੋ,కొనసాగుతుంది,फुडें व्हरप
16,Loan Agreement,Loan Agreement,ऋण समझौता,ऋण करार,വായ്പ കരാർ,கடன் ஒப்பந்தம்,قرض کا معاہدہ,ঋণ চুক্তি,ঋণৰ চুক্তি,લોન કરાર,لون ایگریمنٹ,ಸಾಲ ಒಪ್ಪಂದ,ଋଣ ଚୁକ୍ତି,Ka jingiateh ram,ਕਰਜ਼ਾ ਸਮਝੌਤਾ,రుణ ఒప్పందం,रिणाचो करार
17,Digital documentation,Digital Documentation,डिजिटल दस्तावेज़ीकरण,डिजिटल दस्तऐवजीकरण,ഡിജിറ്റൽ ഡോക്യുമെൻ്റേഷൻ,டிஜிட்டல் ஆவணங்கள்,ڈیجیٹل دستاویزات,ডিজিটাল ডকুমেন্টেশন,ডিজিটেল নথিপত্ৰ,ડિજિટલ દસ્તાવેજીકરણ,ڈیجیٹل دستاویزات,ಡಿಜಿಟಲ್ ದಸ್ತಾವೇಜನ್ನು,ଡିଜିଟାଲ୍ ଡକ୍ୟୁମେଣ୍ଟେସନ୍ |,Ka jingthoh digital,ਡਿਜ਼ੀਟਲ ਦਸਤਾਵੇਜ਼,డిజిటల్ డాక్యుమెంటేషన్,डिजिटल दस्तावेजीकरण
18,Digitally sign documents navigate easily and the sanction process is much faster.,Digitally signed documents enable easier navigation and will speed up the sanction process.,डिजिटल रूप से हस्ताक्षरित दस्तावेज़ आसान नेविगेशन सक्षम करते हैं और मंजूरी प्रक्रिया को गति देंगे।,डिजिटल स्वाक्षरी केलेले दस्तऐवज सुलभ नेव्हिगेशन सक्षम करतात आणि मंजुरी प्रक्रियेला गती देतात.,ഡിജിറ്റലായി ഒപ്പിട്ട ഡോക്യുമെൻ്റുകൾ എളുപ്പത്തിൽ നാവിഗേഷൻ പ്രാപ്തമാക്കുകയും അംഗീകാര പ്രക്രിയ വേഗത്തിലാക്കുകയും ചെയ്യും.,டிஜிட்டல் கையொப்பமிடப்பட்ட ஆவணங்கள் எளிதான வழிசெலுத்தலை செயல்படுத்துகிறது மற்றும் ஒப்புதல் செயல்முறையை துரிதப்படுத்தும்.,ڈیجیٹل طور پر دستخط شدہ دستاویزات آسان نیویگیشن کو قابل بناتی ہیں اور منظوری کے عمل کو تیز کرتی ہیں۔,ডিজিটালি স্বাক্ষরিত নথিগুলি সহজে নেভিগেশন সক্ষম করে এবং অনুমোদনের প্রক্রিয়াকে ত্বরান্বিত করবে।,ডিজিটেলভাৱে স্বাক্ষৰিত নথি-পত্ৰই সহজ নেভিগেচন সক্ষম কৰে আৰু ই অনুমোদন প্ৰক্ৰিয়া ক্ষিপ্ৰ কৰিব।,ડિજિટલી હસ્તાક્ષરિત દસ્તાવેજો સરળ નેવિગેશનને સક્ષમ કરે છે અને મંજૂરી પ્રક્રિયાને ઝડપી બનાવશે.,ڈیجیٹل طور پر دستخط شدہ دستاویزات آسانی سے نیویگیٹ کرنے میں مدد دیتی ہیں اور منظوری کے عمل کو تیز کرتی ہیں۔,ಡಿಜಿಟಲ್ ಸಹಿ ಮಾಡಿದ ದಾಖಲೆಗಳು ಸುಲಭ ನ್ಯಾವಿಗೇಷನ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸುತ್ತವೆ ಮತ್ತು ಅನುಮೋದನೆ ಪ್ರಕ್ರಿಯೆಯನ್ನು ವೇಗಗೊಳಿಸುತ್ತದೆ.,ଡିଜିଟାଲ୍ ସ୍ ଏସଆଇgned ାକ୍ଷରିତ ଡକ୍ୟୁମେଣ୍ଟଗୁଡିକ ସହଜ ନାଭିଗେସନ୍ ସକ୍ଷମ କରେ ଏବଂ ଅନୁମୋଦନ ପ୍ରକ୍ରିୟାକୁ ତ୍ୱରାନ୍ୱିତ କରିବ |,Ki kot ki sla ba la soi da ka digital ki pynsuk ia ka jingleit jingwan bad kan pynsted ia ka jingpynjari.,ਡਿਜੀਟਲ ਤੌਰ 'ਤੇ ਹਸਤਾਖਰ ਕੀਤੇ ਦਸਤਾਵੇਜ਼ ਆਸਾਨ ਨੈਵੀਗੇਸ਼ਨ ਨੂੰ ਸਮਰੱਥ ਬਣਾਉਂਦੇ ਹਨ ਅਤੇ ਪ੍ਰਵਾਨਗੀ ਪ੍ਰਕਿਰਿਆ ਨੂੰ ਤੇਜ਼ ਕਰਦੇ ਹਨ।,డిజిటల్ సంతకం చేసిన పత్రాలు సులభమైన నావిగేషన్‌ను ప్రారంభిస్తాయి మరియు ఆమోద ప్రక్రియను వేగవంతం చేస్తాయి.,डिजिटल स्वाक्षरी केल्ले दस्तावेज सोंपें नेव्हिगेशन सक्षम करतात आनी मान्यताय प्रक्रिया बेगीन करतले.
19,Recommended,Recommended,अनुशंसित,शिफारस केली,ശുപാർശ ചെയ്തത്,பரிந்துரைக்கப்படுகிறது,سفارش کی,প্রস্তাবিত,পৰামৰ্শিত,ભલામણ કરેલ,تجویز کردہ,ಶಿಫಾರಸು ಮಾಡಲಾಗಿದೆ,ପରାମର୍ଶିତ |,Ba la rekomen,ਸਿਫਾਰਸ਼ ਕੀਤੀ,సిఫార్సు చేయబడింది,शिफारस केल्लें
20,Manual documentation,Manual Documentation,मैनुअल दस्तावेज़ीकरण,मॅन्युअल दस्तऐवजीकरण,മാനുവൽ ഡോക്യുമെൻ്റേഷൻ,கையேடு ஆவணங்கள்,دستی دستاویزات,ম্যানুয়াল ডকুমেন্টেশন,হাতৰ দ্বাৰা নথিপত্ৰ,મેન્યુઅલ દસ્તાવેજીકરણ,مینیول دستاویزات,ಹಸ್ತಚಾಲಿತ ದಸ್ತಾವೇಜನ್ನು,ମାନୁଆଲ୍ ଡକ୍ୟୁମେଣ୍ଟେସନ୍ |,Ka jingthoh da ka kti,ਦਸਤੀ ਦਸਤਾਵੇਜ਼,మాన్యువల్ డాక్యుమెంటేషన్,हाताळणी दस्तावेजीकरण
21,Visit your branch to sign your loan agreement,You can visit your Preferred Branch to sign your Loan Agreement.,आप अपने ऋण समझौते पर हस्ताक्षर करने के लिए अपनी पसंदीदा शाखा में जा सकते हैं।,तुमच्या ऋण  करारावर स्वाक्षरी करण्यासाठी तुम्ही तुमच्या पसंतीच्या शाखेला भेट देऊ शकता.,നിങ്ങളുടെ ലോൺ കരാറിൽ ഒപ്പിടാൻ നിങ്ങൾക്ക് ഇഷ്ടപ്പെട്ട ശാഖ സന്ദർശിക്കാം.,உங்கள் கடன் ஒப்பந்தத்தில் கையெழுத்திட நீங்கள் விரும்பும் கிளைக்குச் செல்லலாம்.,آپ اپنے قرض کے معاہدے پر دستخط کرنے کے لیے اپنی پسندیدہ برانچ میں جا سکتے ہیں۔,আপনি আপনার ঋণ চুক্তি স্বাক্ষর করতে আপনার পছন্দের শাখায় যেতে পারেন।,আপুনি আপোনাৰ পছন্দৰ শাখালৈ গৈ আপোনাৰ ঋণ চুক্তিত স্বাক্ষৰ কৰিব পাৰে।,તમે તમારા લોન કરાર પર હસ્તાક્ષર કરવા માટે તમારી પસંદગીની શાખાની મુલાકાત લઈ શકો છો.,آپ اپنے لون ایگریمنٹ پر دستخط کرنے کے لیے اپنی ترجیحی برانچ کا دورہ کر سکتے ہیں۔,ನಿಮ್ಮ ಸಾಲದ ಒಪ್ಪಂದಕ್ಕೆ ಸಹಿ ಮಾಡಲು ನಿಮ್ಮ ಆದ್ಯತೆಯ ಶಾಖೆಗೆ ನೀವು ಭೇಟಿ ನೀಡಬಹುದು.,ତୁମର ଋଣ ଚୁକ୍ତି ସ୍ୱାକ୍ଷର କରିବାକୁ ତୁମେ ତୁମର ପସନ୍ଦିତ ଶାଖା ପରିଦର୍ଶନ କରିପାରିବ |,Phi lah ban leit sha ka Branch ba phi kwah ban soi ia ka jingiateh ram jong phi.,ਤੁਸੀਂ ਆਪਣੇ ਲੋਨ ਸਮਝੌਤੇ 'ਤੇ ਦਸਤਖਤ ਕਰਨ ਲਈ ਆਪਣੀ ਪਸੰਦੀਦਾ ਸ਼ਾਖਾ 'ਤੇ ਜਾ ਸਕਦੇ ਹੋ।,మీ రుణ ఒప్పందంపై సంతకం చేయడానికి మీరు మీ ప్రాధాన్య శాఖను సందర్శించవచ్చు.,तुमचो रिणाचो करार करपाक तुमी तुमच्या आवडीच्या शाखेक भेट दिवंक शकतात.
22,Recovery of Stamp Duty charges,Recovery of Stamp Duty Charges,स्टाम्प शुल्क की वसूली,मुद्रांक शुल्काची वसुली,സ്റ്റാമ്പ് ഡ്യൂട്ടി വീണ്ടെടുക്കൽ,முத்திரை கட்டணத்தை திரும்பப் பெறுதல்,سٹیمپ ڈیوٹی کی وصولی,স্ট্যাম্প ডিউটি ​​পুনরুদ্ধার,ষ্টাম্প ড্যুটিৰ চাৰ্জ আদায়,સ્ટેમ્પ ડ્યુટીની વસૂલાત,اسٹیمپ ڈیوٹی چارجز کی وصولی,ಸ್ಟ್ಯಾಂಪ್ ಸುಂಕದ ಮರುಪಡೆಯುವಿಕೆ,ଷ୍ଟାମ୍ପ ଡ୍ୟୁଟିର ପୁନରୁଦ୍ଧାର,Ka jingpynphai biang ia ki jingsiew khajna Stamp,ਸਟੈਂਪ ਡਿਊਟੀ ਦੀ ਰਿਕਵਰੀ,స్టాంప్ డ్యూటీ రికవరీ,मुद्रांक शुल्क वसूल करप
